Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
Bangladesh	BGD	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														4	4	4	4	4	4	3.5	3.5	3.5	3.5	3.5	3.5	
Bulgaria	BGR	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Bahrain	BHR	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
"Bahamas, The"	BHS	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Bosnia and Herzegovina	BIH	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														4	4.5	4.5	4.5	4.5	4.5	4	4	4				
Belarus	BLR	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Belize	BLZ	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Bermuda	BMU	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Bolivia	BOL	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														3.5	4	4	4	4	4	4	4	4	4	4		
Brazil	BRA	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Barbados	BRB	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Brunei Darussalam	BRN	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Bhutan	BTN	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														4.5	4	4	4	4	4	4	4	4	4	4	4	
Botswana	BWA	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Central African Republic	CAF	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	
Canada	CAN	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Central Europe and the Baltics	CEB	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Switzerland	CHE	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Channel Islands	CHI	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Chile	CHL	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
China	CHN	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Cote d'Ivoire	CIV	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	3	3	3	3	
Cameroon	CMR	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														3.5	3.5	3	3	3	3	3	3	3	3	3	3	
"Congo, Dem. Rep."	COD	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														3	3	3	3	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	
"Congo, Rep."	COG	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														3	3	3	3	3	3	3	3	3	3	3	3	
Colombia	COL	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Comoros	COM	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														3	3	3	3	3	3	2.5	2.5	2.5	2.5	3	3	
Cabo Verde	CPV	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														4.5	4.5	4.5	4.5	4.5	4.5	4.5	4.5	4.5	4.5	4	4	
Costa Rica	CRI	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Caribbean small states	CSS	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														4.3	4.3	4	4	3.9	3.7	3.7	3.5	3.5	3.4	3.4	3.3	
Cuba	CUB	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Curacao	CUW	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Cayman Islands	CYM	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Cyprus	CYP	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Czech Republic	CZE	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Germany	DEU	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Djibouti	DJI	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														3	3	2.5	2.5	3	3	3	3	3	3	3	3	
Dominica	DMA	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														4.5	4	3.5	3.5	3.5	3	3.5	3	3	3	3	3	
Denmark	DNK	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Dominican Republic	DOM	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Algeria	DZA	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
East Asia & Pacific (excluding high income)	EAP	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														3.318181818	3.333333333	3.363636364	3.363636364	3.363636364	3.363636364	3.307692308	3.285714286	3.3	3.3	3.3	3.25	
Early-demographic dividend	EAR	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														3.416666667	3.45	3.431034483	3.448275862	3.465517241	3.482758621	3.45	3.466666667	3.451612903	3.466666667	3.45	3.413793103	
East Asia & Pacific	EAS	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														3.318181818	3.333333333	3.363636364	3.363636364	3.363636364	3.363636364	3.307692308	3.285714286	3.3	3.3	3.3	3.25	
Europe & Central Asia (excluding high income)	ECA	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														4.1	4.1	4.3125	4.375	4.277777778	4.277777778	4.1875	4.25	4.1875	4	4.1	4.1	
Europe & Central Asia	ECS	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														4.1	4.1	4.3125	4.375	4.277777778	4.277777778	4.1875	4.25	4.1875	4	4.1	4.1	
Ecuador	ECU	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
"Egypt, Arab Rep."	EGY	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Euro area	EMU	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Eritrea	ERI	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3	2.5	
Spain	ESP	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Estonia	EST	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Ethiopia	ETH	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														3	3	3	3	3	3	3	3	3	3	3	3	
European Union	EUU	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Fragile and conflict affected situations	FCS	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														2.931818182	2.869565217	2.847826087	2.826086957	2.84	2.86	2.87037037	2.844827586	2.85	2.883333333	2.833333333	2.783333333	
Finland	FIN	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Fiji	FJI	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
France	FRA	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Faroe Islands	FRO	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
"Micronesia, Fed. Sts."	FSM	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																				2.5	2.5	2.5	2.5	2.5	2.5	
Gabon	GAB	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
United Kingdom	GBR	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Georgia	GEO	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														4.5	4.5	4.5	4.5	4.5	4.5	4.5	4.5	4.5				
Ghana	GHA	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														4	4	4	4	4	4	4	4	4	4	4	4	
Gibraltar	GIB	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Guinea	GIN	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														4	3.5	3.5	3.5	3.5	3.5	3	3	3	3	3	3	
"Gambia, The"	GMB	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	
Guinea-Bissau	GNB	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														3	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2	2	
Equatorial Guinea	GNQ	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Greece	GRC	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Grenada	GRD	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														4.5	5	5	5	4.5	4.5	4	4	4	3.5	3.5	3.5	
Greenland	GRL	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Guatemala	GTM	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Guam	GUM	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Guyana	GUY	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														3.5	4	4	4	4	3.5	3.5	3.5	3.5	3.5	3.5	3	
High income	HIC	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
"Hong Kong SAR, China"	HKG	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Honduras	HND	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														4	4	4	4	4	4	4	4	3.5	3.5	3.5	3.5	
Heavily indebted poor countries (HIPC)	HPC	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														3.277777778	3.22972973	3.256756757	3.243243243	3.210526316	3.223684211	3.210526316	3.197368421	3.184210526	3.184210526	3.171052632	3.094594595	
Croatia	HRV	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Haiti	HTI	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														3	3	3	3	3	3	3	3	3	3	3	2.5	
Hungary	HUN	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
IBRD only	IBD	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														3.958333333	3.916666667	4.055555556	4.055555556	4.111111111	4.111111111	3.9375	3.9375	3.9375	4.166666667	4.166666667		
IDA & IBRD total	IBT	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														3.473684211	3.442307692	3.433333333	3.433333333	3.428571429	3.435064935	3.397435897	3.36875	3.358024691	3.322368421	3.309210526	3.239726027	
IDA total	IDA	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														3.3828125	3.356060606	3.348484848	3.348484848	3.338235294	3.345588235	3.335714286	3.305555556	3.294520548	3.287671233	3.273972603	3.239726027	
IDA blend	IDB	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														3.566666667	3.53125	3.46875	3.46875	3.4375	3.4375	3.53125	3.46875	3.4375	3.46875	3.4375	3.4375	
Indonesia	IDN	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														3.5	3.5											
IDA only	IDX	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														3.326530612	3.3	3.31	3.31	3.307692308	3.317307692	3.277777778	3.258928571	3.254385965	3.236842105	3.228070175	3.184210526	
Isle of Man	IMN	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
India	IND	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														3.5	3.5	3.5	3.5	3.5	3.5	3	3	3				
Not classified	INX	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Ireland	IRL	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
"Iran, Islamic Rep."	IRN	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Iraq	IRQ	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Iceland	ISL	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Israel	ISR	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Italy	ITA	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Jamaica	JAM	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Jordan	JOR	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Japan	JPN	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Kazakhstan	KAZ	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Kenya	KEN	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														3	3	3	3	3	3.5	3.5	3.5	3.5	3.5	3.5	3.5	
Kyrgyz Republic	KGZ	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														4	4.5	4.5	4.5	4.5	4.5	4.5	4.5	4.5	4	4.5	4.5	
Cambodia	KHM	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														3.5	4	4	4	4	4	4	4	4	4	4	4	
Kiribati	KIR	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														3	3	3	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	
St. Kitts and Nevis	KNA	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
"Korea, Rep."	KOR	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Kuwait	KWT	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Latin America & Caribbean (excluding high income)	LAC	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														4	4	3.833333333	3.833333333	3.777777778	3.666666667	3.722222222	3.611111111	3.555555556	3.5	3.5	3.3125	
Lao PDR	LAO	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	4	4	4	4	
Lebanon	LBN	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Liberia	LBR	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																		2.5	2.5	3	3	3	3	3	3	
Libya	LBY	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
St. Lucia	LCA	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														4.5	4	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	
Latin America & Caribbean	LCN	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														4	4	3.833333333	3.833333333	3.777777778	3.666666667	3.722222222	3.611111111	3.555555556	3.5	3.5	3.3125	
Least developed countries: UN classification	LDC	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														3.25	3.202380952	3.238095238	3.214285714	3.220930233	3.244186047	3.209302326	3.166666667	3.163043478	3.166666667	3.144444444	3.1	
Low income	LIC	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														3.211538462	3.148148148	3.185185185	3.166666667	3.142857143	3.160714286	3.160714286	3.120689655	3.103448276	3.137931034	3.137931034	3.068965517	
Liechtenstein	LIE	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Sri Lanka	LKA	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														4	4	4	4	4	4	4	4	4	4	4		
Lower middle income	LMC	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														3.473684211	3.487179487	3.5	3.5	3.525641026	3.551282051	3.5125	3.5125	3.5	3.459459459	3.432432432	3.367647059	
Low & middle income	LMY	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														3.473684211	3.442307692	3.433333333	3.433333333	3.428571429	3.435064935	3.397435897	3.36875	3.358024691	3.322368421	3.309210526	3.239726027	
Lesotho	LSO	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														4	4	4	4	4	4	4	4	4	4	4	4	
Late-demographic dividend	LTE	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														4.192307692	4.153846154	4.181818182	4.181818182	4.181818182	4.136363636	4.15	4.15	4.1	3.9375	4	3.833333333	
Lithuania	LTU	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Luxembourg	LUX	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Latvia	LVA	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
"Macao SAR, China"	MAC	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
St. Martin (French part)	MAF	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Morocco	MAR	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Monaco	MCO	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Moldova	MDA	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														4.5	5	5	5	5	5	5	5	4.5	4.5	4.5	4.5	
Madagascar	MDG	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	4	4	
Maldives	MDV	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														4	4	4	4	4	4	4	4.5	4.5	4	4	3.5	
Middle East & North Africa	MEA	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														2.75	2.75	2.25	2.25	2.5	2.5	2.5	2.5	2.5	2.5	2.25	2.25	
Mexico	MEX	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Marshall Islands	MHL	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																				3	3	3	3	3	3	
Middle income	MIC	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														3.61	3.598039216	3.572916667	3.583333333	3.591836735	3.591836735	3.53	3.509803922	3.5	3.436170213	3.414893617	3.352272727	
"Macedonia, FYR"	MKD	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Mali	MLI	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														3.5	3.5	3.5	3.5	3.5	3.5	3.5	3	3	3	2.5	2.5	
Malta	MLT	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Myanmar	MMR	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																						3	3	3	3	
Middle East & North Africa (excluding high income)	MNA	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														2.75	2.75	2.25	2.25	2.5	2.5	2.5	2.5	2.5	2.5	2.25	2.25	
Montenegro	MNE	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Mongolia	MNG	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														3.5	3.5	3.5	3.5	3.5	3.5	4	4	4	4	4	4	
Northern Mariana Islands	MNP	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Mozambique	MOZ	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	
Mauritania	MRT	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														3.5	3.5	4	4	4	4	4	4	4	4	3.5	3.5	
Mauritius	MUS	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Malawi	MWI	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	
Malaysia	MYS	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
North America	NAC	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Namibia	NAM	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
New Caledonia	NCL	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Niger	NER	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	
Nigeria	NGA	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														3	3	3	3	3	3	3	3	3	3	3	3	
Nicaragua	NIC	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														4	3.5	3.5	3.5	3.5	3.5	4	4	4	4	4	4	
Netherlands	NLD	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Norway	NOR	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Nepal	NPL	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														3	3.5	3.5	3.5	4	4	4	4	4	4	4	4	
Nauru	NRU	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
New Zealand	NZL	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
OECD members	OED	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Oman	OMN	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Other small states	OSS	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														3.611111111	3.45	3.45	3.45	3.5	3.5	3.45	3.5	3.5	3.45	3.4	3.35	
Pakistan	PAK	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														2	2	2	2	2	2	2.5	2.5	2.5	2.5	2.5	2.5	
Panama	PAN	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Peru	PER	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Philippines	PHL	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Palau	PLW	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Papua New Guinea	PNG	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	
Poland	POL	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Pre-demographic dividend	PRE	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														3.183333333	3.109375	3.15625	3.140625	3.121212121	3.151515152	3.121212121	3.073529412	3.073529412	3.075757576	3.045454545	3	
Puerto Rico	PRI	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
